# Source Name	Source Type	Source Slot	Destination Name	Destination Type	Destination Slot
Y1406S1_LV02/Output/Channel/10	LV-PS	VDD2	Y1406S1_LV_PP4_02C.WienerCh3	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV02/Output/Channel/11	LV-PS	VDDA2	Y1406S1_LV_PP4_02C.WienerCh4	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV03/Output/Channel/0	LV-PS	VDD2	Y1406S1_LV_PP4_04A.WienerCh1	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV03/Output/Channel/1	LV-PS	VDDA2	Y1406S1_LV_PP4_04A.WienerCh2	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV03/Output/Channel/2	LV-PS	VDD2	Y1406S1_LV_PP4_04A.WienerCh3	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV03/Output/Channel/3	LV-PS	VDDA2	Y1406S1_LV_PP4_04A.WienerCh4	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV03/Output/Channel/4	LV-PS	VDD2	Y1406S1_LV_PP4_04B.WienerCh1	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV03/Output/Channel/5	LV-PS	VDDA2	Y1406S1_LV_PP4_04B.WienerCh2	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV03/Output/Channel/6	LV-PS	VDD2	Y1406S1_LV_PP4_04B.WienerCh3	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV03/Output/Channel/7	LV-PS	VDDA2	Y1406S1_LV_PP4_04B.WienerCh4	LV-PP4	LV-PS-PP4VDDp
					
					
Y1406S1_LV_PP4_01A.WienerCh1	LV-PP4	PP4VDDp	PP2_S21_Board0	LV-PP2	LV-PP2-B0
Y1406S1_LV_PP4_01A.WienerCh2	LV-PP4	PP4VDDAp	PP2_S21_Board0	LV-PP2	LV-PP2-B1
Y1406S1_LV_PP4_01A.WienerCh3	LV-PP4	PP4VDDp	PP2_S21_Board1	LV-PP2	LV-PP2-B2
Y1406S1_LV_PP4_01A.WienerCh4	LV-PP4	PP4VDDAp	PP2_S21_Board1	LV-PP2	LV-PP2-B3
Y1406S1_LV_PP4_01B.WienerCh1	LV-PP4	PP4VDDp	PP2_S21_Board2	LV-PP2	LV-PP2-B4
Y1406S1_LV_PP4_01B.WienerCh2	LV-PP4	PP4VDDAp	PP2_S21_Board2	LV-PP2	LV-PP2-B5
Y1406S1_LV_PP4_01B.WienerCh3	LV-PP4	PP4VDDp	PP2_S21_Board3	LV-PP2	LV-PP2-B6
Y1406S1_LV_PP4_01B.WienerCh4	LV-PP4	PP4VDDAp	PP2_S21_Board3	LV-PP2	LV-PP2-B7
Y1406S1_LV_PP4_01C.WienerCh1	LV-PP4	PP4VDDp	PP2_S21_Board4	LV-PP2	LV-PP2-B8
Y1406S1_LV_PP4_01C.WienerCh2	LV-PP4	PP4VDDAp	PP2_S21_Board4	LV-PP2	LV-PP2-B9
Y1406S1_LV_PP4_01C.WienerCh3	LV-PP4	PP4VDDp	PP2_S21_Board5	LV-PP2	LV-PP2-B10
Y1406S1_LV_PP4_01C.WienerCh4	LV-PP4	PP4VDDAp	PP2_S21_Board5	LV-PP2	LV-PP2-B11
Y1406S1_LV_PP4_02A.WienerCh1	LV-PP4	PP4VDDp	PP2_S21_Board6	LV-PP2	LV-PP2-B12
Y1406S1_LV_PP4_02A.WienerCh2	LV-PP4	PP4VDDAp	PP2_S21_Board6	LV-PP2	LV-PP2-B13
Y1406S1_LV_PP4_02A.WienerCh3	LV-PP4	PP4VDDp	PP2_S21_Board7	LV-PP2	LV-PP2-B14
Y1406S1_LV_PP4_02A.WienerCh4	LV-PP4	PP4VDDAp	PP2_S21_Board7	LV-PP2	LV-PP2-B15
Y1406S1_LV_PP4_02B.WienerCh1	LV-PP4	PP4VDDp	PP2_S21_Board8	LV-PP2	LV-PP2-B16
Y1406S1_LV_PP4_02B.WienerCh2	LV-PP4	PP4VDDAp	PP2_S21_Board8	LV-PP2	LV-PP2-B17
Y1406S1_LV_PP4_02B.WienerCh3	LV-PP4	PP4VDDp	PP2_S21_Board9	LV-PP2	LV-PP2-B18
Y1406S1_LV_PP4_02B.WienerCh4	LV-PP4	PP4VDDAp	PP2_S21_Board9	LV-PP2	LV-PP2-B19
Y1406S1_LV_PP4_02C.WienerCh1	LV-PP4	PP4VDDp	PP2_S21_BoardA	LV-PP2	LV-PP2-B20
Y1406S1_LV_PP4_02C.WienerCh2	LV-PP4	PP4VDDAp	PP2_S21_BoardA	LV-PP2	LV-PP2-B21
Y1406S1_LV_PP4_02C.WienerCh3	LV-PP4	PP4VDDp	PP2_S21_BoardB	LV-PP2	LV-PP2-B22
Y1406S1_LV_PP4_02C.WienerCh4	LV-PP4	PP4VDDAp	PP2_S21_BoardB	LV-PP2	LV-PP2-B23
Y1406S1_LV_PP4_04A.WienerCh1	LV-PP4	PP4VDDp	PP2_S22_Board0	LV-PP2	LV-PP2-B24
Y1406S1_LV_PP4_04A.WienerCh2	LV-PP4	PP4VDDAp	PP2_S22_Board0	LV-PP2	LV-PP2-B25
Y1406S1_LV_PP4_04A.WienerCh3	LV-PP4	PP4VDDp	PP2_S22_Board1	LV-PP2	LV-PP2-B26
Y1406S1_LV_PP4_04A.WienerCh4	LV-PP4	PP4VDDAp	PP2_S22_Board1	LV-PP2	LV-PP2-B27
Y1406S1_LV_PP4_04B.WienerCh1	LV-PP4	PP4VDDp	PP2_S22_Board2	LV-PP2	LV-PP2-B28
Y1406S1_LV_PP4_04B.WienerCh2	LV-PP4	PP4VDDAp	PP2_S22_Board2	LV-PP2	LV-PP2-B29
Y1406S1_LV_PP4_04B.WienerCh3	LV-PP4	PP4VDDp	PP2_S22_Board3	LV-PP2	LV-PP2-B30
Y1406S1_LV_PP4_04B.WienerCh4	LV-PP4	PP4VDDAp	PP2_S22_Board3	LV-PP2	LV-PP2-B31
					
					
PP2_S21_Board0	LV-PP2	RegBoard-0	R1_OPS1	LV-PP1	UP
PP2_S21_Board1	LV-PP2	RegBoard-1	R2_OPS1	LV-PP1	UP
PP2_S21_Board2	LV-PP2	RegBoard-2	R1_OPS2	LV-PP1	UP
PP2_S21_Board3	LV-PP2	RegBoard-3	R2_OPS2	LV-PP1	UP
PP2_S21_Board4	LV-PP2	RegBoard-4	R1_OPS3	LV-PP1	UP
